The NordVPN Servers in SG Are:

Server = sg455 , Load = 15 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg456 , Load = 16 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg457 , Load = 19 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg458 , Load = 20 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg459 , Load = 18 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg460 , Load = 22 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg461 , Load = 26 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg462 , Load = 25 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg463 , Load = 16 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg464 , Load = 39 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg465 , Load = 22 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg466 , Load = 17 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg472 , Load = 26 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg473 , Load = 21 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg474 , Load = 25 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg475 , Load = 17 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg476 , Load = 26 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg477 , Load = 21 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg478 , Load = 21 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg479 , Load = 22 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg480 , Load = 16 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg481 , Load = 19 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg482 , Load = 16 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg483 , Load = 18 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg485 , Load = 32 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

Server = sg486 , Load = 27 , Country = Singapore , Features [{'name': 'Standard VPN servers'}, {'name': 'P2P'}]

